Team Name,Average Age,Games Played,Wins,Losses,Overtime/Shootout Losses,Points,Points %,Goals For,Goals Against,Simple Rating System,Strength of Schedule,Total Goals per Game (For and Against),PowerPlay Goals,PowerPlay Opportunities,PowerPlay %,PowerPlay Goals Against,PowerPlay Opportunities Against,Penalty Killiing %,Shorthanded Goals For,Shorthanded Goals Against,Shots on Goal,Shooting %,Shots Against,Save %,PDO,Shutouts,Corsi For %, 5v5 Save %, 5v5 Shooting %
Anaheim Ducks,28.7,82,44,25,13,101,.616,231,209,0.24,0.01,5.37,38,214,17.76,46,274,83.21,10,4,2475,9.3,2716,.923,101.2,9,48.6,0.937,7.5
Arizona Coyotes,26.5,82,29,41,12,70,.427,206,251,-0.53,0.05,5.57,41,243,16.87,46,224,79.46,2,10,2450,8.4,2642,.905,99.5,5,48.1,0.927,6.8
Boston Bruins,28.6,82,50,20,12,112,.683,267,211,0.62,-0.07,5.83,61,258,23.64,40,245,83.67,9,10,2703,9.9,2399,.912,100.2,4,53.7,0.929,7.3
Buffalo Sabres,27.1,82,25,45,12,62,.378,198,278,-0.98,0.01,5.80,49,257,19.07,52,235,77.87,9,10,2557,7.7,2681,.896,98.0,3,47.6,0.923,5.8
Calgary Flames,27.7,82,50,25,7,107,.652,289,223,0.70,-0.06,6.24,53,275,19.27,50,246,79.67,18,7,2656,10.9,2302,.903,100.8,3,53.9,0.924,8.4
Carolina Hurricanes,27.0,82,36,35,11,83,.506,225,253,-0.35,-0.01,5.83,44,239,18.41,43,191,77.49,3,6,2780,8.1,2367,.893,98.2,2,54.5,0.916,6.6
Chicago Blackhawks,28.0,82,33,39,10,76,.463,228,254,-0.26,0.07,5.88,43,269,15.99,49,236,79.24,5,7,2793,8.2,2697,.906,99.1,2,52.4,0.924,6.6
Colorado Avalanche,26.4,82,43,30,9,95,.579,255,236,0.28,0.04,5.99,65,296,21.96,45,269,83.27,7,13,2432,10.5,2731,.914,101.3,5,47.6,0.936,7.6
Columbus Blue Jackets,26.4,82,45,30,7,97,.591,236,226,0.11,-0.04,5.63,39,227,17.18,51,214,76.17,4,7,2761,8.5,2567,.912,100.2,5,51.5,0.933,6.9
Dallas Stars,28.3,82,43,32,7,93,.567,209,200,0.09,0.00,4.99,45,214,21.03,41,238,82.77,4,2,2519,8.3,2591,.923,100.3,10,48.3,0.939,6.4
Detroit Red Wings,30.2,82,30,39,13,73,.445,212,254,-0.48,-0.01,5.68,41,234,17.52,58,259,77.61,9,5,2490,8.5,2613,.903,99.5,4,48.8,0.925,7
Edmonton Oilers,26.8,82,36,40,6,78,.476,229,262,-0.32,0.03,5.99,31,210,14.76,57,245,76.73,11,5,2740,8.4,2634,.901,99.4,1,50.6,0.924,7
Florida Panthers,27.8,82,44,30,8,96,.585,245,243,-0.01,-0.04,5.95,47,249,18.88,45,227,80.18,10,5,2822,8.7,2838,.914,100.0,7,49.2,0.929,7.1
Los Angeles Kings,29.1,82,45,29,8,98,.598,237,202,0.44,0.00,5.35,49,240,20.42,39,260,85.00,5,4,2544,9.3,2537,.920,101.0,8,50,0.936,7.4
Minnesota Wild,29.5,82,45,26,11,101,.616,250,229,0.29,0.04,5.84,49,240,20.42,51,272,81.25,7,6,2476,10.1,2569,.911,100.7,6,47.2,0.932,7.6
Montreal Canadiens,27.8,82,29,40,13,71,.433,207,258,-0.68,0.00,5.67,52,244,21.31,68,263,74.14,7,6,2687,7.7,2650,.903,98.7,4,50.5,0.928,5.9
Nashville Predators,28.4,82,53,18,11,117,.713,261,204,0.71,0.03,5.67,58,274,21.17,54,299,81.94,10,5,2641,9.9,2659,.923,101.6,11,51.5,0.939,7.6
New Jersey Devils,27.7,82,44,29,9,97,.591,243,240,0.02,-0.03,5.89,54,252,21.43,47,258,81.78,12,6,2599,9.3,2616,.908,99.7,2,48.6,0.924,7.3
New York Islanders,28.4,82,35,37,10,80,.488,261,293,-0.40,-0.01,6.76,58,250,23.20,63,235,73.19,5,11,2572,10.1,2918,.900,100.4,2,47.5,0.923,8.1
New York Rangers,28.7,82,34,39,9,77,.470,228,263,-0.46,-0.01,5.99,51,241,21.16,46,247,81.38,5,5,2538,9.0,2898,.909,99.8,3,45.9,0.927,7
Ottawa Senators,29.3,82,28,43,11,67,.409,219,284,-0.85,0.00,6.13,41,248,16.53,56,235,76.17,4,6,2515,8.7,2712,.895,98.8,2,47.2,0.916,7.2
Philadelphia Flyers,27.4,82,42,26,14,98,.598,249,236,0.07,-0.03,5.91,54,261,20.69,54,223,75.78,3,10,2631,9.5,2448,.904,100.3,3,49.7,0.93,7.3
Pittsburgh Penguins,27.7,82,47,29,6,100,.610,270,248,0.23,-0.04,6.32,68,260,26.15,53,265,80.00,6,3,2823,9.6,2553,.903,98.5,4,52.3,0.918,6.7
San Jose Sharks,28.8,82,45,27,10,100,.610,247,226,0.28,0.00,5.77,53,257,20.62,34,224,84.82,8,3,2702,9.1,2488,.909,99.3,6,50.9,0.922,7.1
